id,message,location,created_at
22,I gotta get you out my head now,0101000020E61000009961A3ACDFAC3340BC3C9D2B4A953140,2022-04-12 14:27:36
23,"You may not be the one, but you look like fun. ",0101000020E61000007C48F8DEDFAC33405CCCCF0D4D953140,2022-04-12 14:27:36
24,"I think you are kinda crazy and not the good kind, baby. ",0101000020E6100000CE6E2D93E1AC3340BF29AC5450953140,2022-04-12 14:27:36
25,People can go from people you know to people you donate,0101000020E6100000F3ACA415DFAC3340CC0BB08F4E953140,2022-04-12 14:27:36
26,If the only other options letting go stay vulnerable.,0101000020E6100000349C3237DFAC3340C19140834D953140,2022-04-12 14:27:36
27,Hi New Year.,0101000020E610000069A9BC1DE1AC3340DEAAEB504D953140,2022-04-12 14:27:36
28,Feels so good to dance again,0101000020E6100000E5620CACE3AC3340AF5A99F04B953140,2022-04-12 14:27:36
29,"Merry Christmas and many, many blessings to you and your close loved ones!",0101000020E6100000E10D6954E0AC334072C0AE264F953140,2022-04-12 14:27:36
30,I will share so many of these stories and voices.,0101000020E6100000A643A7E7DDAC334038F6ECB94C953140,2022-04-12 14:27:36
31,"I have so much to share about my trip to Kenya, London and Paris.",0101000020E61000009EB64604E3AC3340209A79724D953140,2022-04-12 14:27:36
32,Feels good to be back.,0101000020E61000008EE733A0DEAC33409241EE224C953140,2022-04-12 14:27:36
33,All combo -biker jacket and butterfly parker bag,0101000020E6100000C8B1F50CE1AC3340209A79724D953140,2022-04-12 14:27:36
34,It was my absolute honor to present the Bill of Rights Award to the incredible Activist,0101000020E61000001BD82AC1E2AC3340505260014C953140,2022-04-12 14:27:36
35,Well.. Still here.,0101000020E6100000151BF33AE2AC3340A37895B54D953140,2022-04-12 14:27:36
36,Grateful for ze pasta ��,0101000020E6100000A3737E8AE3AC33404FEACBD24E953140,2022-04-12 14:27:36
37,Puma fam. In my Cali Sport.,0101000020E6100000FDBE7FF3E2AC33403EB324404D953140,2022-04-12 14:27:36
38,"My love, my heart and my soul ",0101000020E6100000F24410E7E1AC3340EB8CEF8B4B953140,2022-04-12 14:27:36
39,So incredibly honored to be part of Start the conversation and make sure your voice is heard.,0101000020E6100000DFA5D425E3AC33400F63D2DF4B953140,2022-04-12 14:27:36
40,Hope I'm officially the best big sissy ever now.,0101000020E6100000C18C2958E3AC334097FE25A94C953140,2022-04-12 14:27:36
41,Appreciation post for the squad that's the loyalist since day 1,0101000020E610000069A9BC1DE1AC33405A643BDF4F953140,2022-04-12 14:27:36
42,My first number 1!! This song is so dear to my heart.,0101000020E61000002D776682E1AC334072C0AE264F953140,2022-04-12 14:27:36
43,I miss when was a bear,0101000020E6100000F24410E7E1AC334097FE25A94C953140,2022-04-12 14:27:36
44,Family photos,0101000020E610000052B5DD04DFAC3340E6CFB7054B953140,2022-04-12 14:27:36
45,Honestly my mom really killed it on my costumes growing up.,0101000020E6100000D593F947DFAC33403EB324404D953140,2022-04-12 14:27:36
46,"Georgia, Toronto, Texas met in NY for a quick night ",0101000020E6100000D42B6519E2AC33401E32E54350953140,2022-04-12 14:27:36
47,Getting to celebrate this chapter with my friends means so much to me,0101000020E61000006B11514CDEAC33407E3A1E3350953140,2022-04-12 14:27:36
48,Some of my favorite moments on set,0101000020E6100000151BF33AE2AC33409C53C90050953140,2022-04-12 14:27:36
49,I went to Interscope today to thank everyone for all they do for me!,0101000020E6100000B2BD16F4DEAC334043705CC64D953140,2022-04-12 14:27:36
50,Made her more of a woman.,0101000020E6100000B05582C5E1AC33400F63D2DF4B953140,2022-04-12 14:27:36
51,You promised the world.,0101000020E610000087C267EBE0AC334090D959F44E953140,2022-04-12 14:27:36
52,I needed to lose you to love me. 10.23. Link in bio.,0101000020E610000081053065E0AC33408C84B69C4B953140,2022-04-12 14:27:36
53,I gave my all and they all know it.,0101000020E6100000037CB779E3AC3340B4AF3C484F953140,2022-04-12 14:27:36
54,Rose colored glasses all distorted.,0101000020E610000017838769DFAC334014200A664C953140,2022-04-12 14:27:36
55,We always go into it blindly.,0101000020E610000039F1D58EE2AC334003E962D34A953140,2022-04-12 14:27:36
56,"Me, all the time ",0101000020E6100000151BF33AE2AC3340B517D1764C953140,2022-04-12 14:27:36
57,Everything is gooing good here!,0101000020E610000074232C2AE2AC334014200A664C953140,2022-04-12 14:27:36
